,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
55,Anthony Witt,16,78,73295.42,50.99,84.17,52.39,3.44,Medium value Customer
56,Arianne Irving,13,50,39112.98,59.4,14.64,7.66,4.01,Medium value Customer
57,Art Ferguson,5,98,152491.57,81.65,99.12,97.11,5.51,Top Customer
58,Art Foster,53,76,101749.08,9.24,79.27,79.65,0.62,Very low value Customer
59,Arthur Gainer,23,75,107100.11,38.23,77.39,83.67,2.58,Medium value Customer
60,Arthur Prichep,76,87,71789.96,4.3,95.6,49.25,0.29,Very low value Customer
61,Arthur Wiediger,35,49,66020.88,22.19,12.63,41.58,1.5,Very low value Customer
62,Ashley Jarboe,28,56,76336.93,30.6,27.83,56.53,2.07,Low value Customer
63,Astrea Jones,48,60,56698.75,11.8,38.69,27.64,0.8,Very low value Customer
64,Barbara Fisher,22,62,37118.61,40.09,44.16,5.78,2.71,Medium value Customer
65,Barry Blumstein,14,62,46113.21,56.77,44.16,14.45,3.83,Medium value Customer
66,Barry Franz,8,69,124230.34,69.85,65.45,91.96,4.72,High value Customer
67,Barry Französisch,15,62,47957.21,53.82,44.16,16.33,3.63,Medium value Customer
68,Barry Gonzalez,28,67,103631.16,30.6,58.67,81.16,2.07,Low value Customer
69,Barry Pond,5,57,40992.26,81.65,30.59,8.92,5.51,Top Customer
70,Barry Weirich,22,51,99704.33,40.09,16.65,78.27,2.71,Medium value Customer
71,Bart Folk,25,55,56217.18,36.56,24.56,26.63,2.47,Low value Customer
72,Bart Pistole,2,70,37874.54,89.67,67.71,6.41,6.05,Top Customer
73,Bart Watters,54,96,141352.41,8.66,98.81,95.35,0.58,Very low value Customer
74,Becky Castell,29,87,73835.96,28.74,95.6,53.02,1.94,Low value Customer
75,Becky Martin,8,78,154247.66,69.85,84.17,97.24,4.72,High value Customer
76,Becky Pak,32,58,91382.47,26.23,33.61,71.36,1.77,Low value Customer
77,Ben Ferrer,16,86,96221.95,50.99,94.6,75.13,3.44,Medium value Customer
78,Ben Peterman,1,74,83875.72,95.06,75.38,64.57,6.42,Top Customer
79,Ben Wallace,40,68,60201.91,17.83,62.19,33.04,1.2,Very low value Customer
80,Benjamin Farhat,26,62,63219.23,34.77,44.16,37.31,2.35,Low value Customer
81,Benjamin Patterson,39,67,72717.05,18.79,58.67,51.01,1.27,Very low value Customer
82,Benjamin Venier,44,61,95248.84,13.66,41.33,74.62,0.92,Very low value Customer
83,Berenike Kampe,26,64,70688.58,34.77,50.19,47.86,2.35,Low value Customer
84,Beth Fritzler,6,58,42763.07,77.04,33.61,10.93,5.2,High value Customer
85,Beth Paige,12,55,64010.41,62.41,24.56,38.57,4.21,Medium value Customer
86,Beth Thompson,28,70,46485.89,30.6,67.71,14.95,2.07,Low value Customer
87,Bill Donatelli,5,69,63771.29,81.65,65.45,38.19,5.51,Top Customer
88,Bill Eplett,35,102,171617.29,22.19,99.62,98.74,1.5,Very low value Customer
89,Bill Overfelt,21,47,36281.37,42.66,9.36,4.77,2.88,Medium value Customer
90,Bill Shonely,0,68,137512.38,100.0,62.19,95.23,6.75,Top Customer
91,Bill Stewart,28,66,108689.53,30.6,55.53,84.67,2.07,Low value Customer
92,Bill Tyler,28,50,58773.61,30.6,14.64,30.65,2.07,Low value Customer
93,Bobby Elias,21,60,100382.22,42.66,38.69,79.15,2.88,Medium value Customer
94,Bobby Odegard,1,57,81103.4,95.06,30.59,61.68,6.42,Top Customer
95,Bobby Trafton,51,53,53416.79,9.81,19.79,23.37,0.66,Very low value Customer
96,Brad Eason,3,69,115392.83,86.79,65.45,87.69,5.86,Top Customer
97,Brad Norvell,11,70,122552.9,64.79,67.71,90.83,4.37,Medium value Customer
98,Brad Thomas,30,65,50368.22,27.39,52.95,19.22,1.85,Low value Customer
99,Bradley Drucker,19,44,69778.54,47.15,6.16,46.98,3.18,Medium value Customer
100,Bradley Nguyen,9,65,51188.32,66.65,52.95,20.35,4.5,High value Customer
101,Bradley Talbott,33,55,81264.89,25.02,24.56,61.81,1.69,Low value Customer
102,Brenda Bowman,28,63,94705.84,30.6,47.17,74.12,2.07,Low value Customer
103,Brendan Dodson,7,36,53365.78,73.44,1.44,23.24,4.96,High value Customer
104,Brendan Murry,34,55,55676.07,23.54,24.56,26.13,1.59,Very low value Customer
105,Brendan Sweed,35,58,65250.2,22.19,33.61,40.33,1.5,Very low value Customer
106,Brian Dahlen,97,48,36459.09,2.44,10.93,5.03,0.16,Very low value Customer
107,Brian DeCherney,49,67,44115.57,10.78,58.67,12.31,0.73,Very low value Customer
108,Brian Derr,9,68,79710.75,66.65,62.19,60.68,4.5,High value Customer
109,Brian Moss,33,78,71294.31,25.02,84.17,48.49,1.69,Low value Customer
110,Brian Stugart,29,70,145742.64,28.74,67.71,96.23,1.94,Low value Customer
111,Brian Thompson,18,58,64923.74,48.88,33.61,39.95,3.3,Medium value Customer
112,Brooke Gillingham,9,49,52613.79,66.65,12.63,22.11,4.5,High value Customer
113,Brosina Hoffman,23,97,146407.94,38.23,98.99,96.36,2.58,Medium value Customer
114,Bruce Degenhardt,4,76,61666.76,85.31,79.27,34.8,5.76,Top Customer
115,Bruce Geld,6,56,91713.51,77.04,27.83,72.24,5.2,High value Customer
116,Bruce Stewart,1,83,73689.35,95.06,90.64,52.76,6.42,Top Customer
117,Bryan Davis,35,64,59498.85,22.19,50.19,31.91,1.5,Very low value Customer
118,Bryan Mills,2,84,86377.54,89.67,92.27,66.83,6.05,Top Customer
119,Bryan Spruell,9,69,91464.23,66.65,65.45,71.61,4.5,High value Customer
120,Candace McMahon,40,46,90957.61,17.83,8.17,71.11,1.2,Very low value Customer
121,Cari MacIntyre,6,77,118493.28,77.04,81.78,89.07,5.2,High value Customer
122,Cari Sayre,15,68,108255.17,53.82,62.19,84.55,3.63,Medium value Customer
123,Cari Schnelling,50,60,49955.16,10.26,38.69,18.72,0.69,Very low value Customer
124,Carl Jackson,13,56,59772.14,59.4,27.83,32.41,4.01,Medium value Customer
125,Carl Ludwig,13,60,119196.21,59.4,38.69,89.2,4.01,Medium value Customer
126,Carl Weiss,8,55,67621.24,69.85,24.56,43.97,4.72,High value Customer
127,Carlos Daly,2,70,104283.46,89.67,67.71,81.41,6.05,Top Customer
128,Carlos Meador,36,42,42424.91,20.85,3.83,10.68,1.41,Very low value Customer
129,Carlos Soltero,25,68,60083.29,36.56,62.19,32.91,2.47,Low value Customer
130,Carol Adams,18,57,163414.02,48.88,30.59,98.24,3.3,Medium value Customer
131,Carol Darley,1,68,50941.74,95.06,62.19,19.97,6.42,Top Customer
132,Carol Triggs,28,52,76023.47,30.6,18.09,55.65,2.07,Low value Customer
133,Caroline Jumper,33,58,92146.6,25.02,33.61,72.61,1.69,Low value Customer
134,Cassandra Brandow,9,59,71701.94,66.65,36.31,48.99,4.5,High value Customer
135,Catherine Glotzbach,21,35,15519.11,42.66,0.88,0.25,2.88,Medium value Customer
136,Cathy Armstrong,13,56,46924.42,59.4,27.83,15.58,4.01,Medium value Customer
137,Cathy Hwang,89,70,65426.65,3.21,67.71,40.83,0.22,Very low value Customer
138,Cathy Prescott,69,65,98562.6,5.52,52.95,77.39,0.37,Very low value Customer
139,Chad Cunningham,51,58,53901.75,9.81,33.61,24.12,0.66,Very low value Customer
140,Chad McGuire,8,43,77281.56,69.85,4.96,58.29,4.72,High value Customer
141,Chad Sievert,11,48,54015.93,64.79,10.93,24.25,4.37,Medium value Customer
142,Charles Crestani,82,59,59101.76,3.85,36.31,31.53,0.26,Very low value Customer
143,Charles McCrossin,26,55,120503.24,34.77,24.56,89.82,2.35,Low value Customer
144,Charles Sheldon,57,62,109320.49,7.31,44.16,84.92,0.49,Very low value Customer
145,Charlotte Melton,0,55,72128.09,100.0,24.56,49.87,6.75,Top Customer
146,Chloris Kastensmidt,4,96,52557.84,85.31,98.81,21.86,5.76,Top Customer
147,Chris Cortes,20,87,52225.14,45.09,95.6,21.48,3.04,Medium value Customer
148,Chris McAfee,42,44,64280.02,15.52,6.16,38.69,1.05,Very low value Customer
149,Chris Selesnick,2,81,67648.57,89.67,87.63,44.22,6.05,Top Customer
150,Christina Anderson,34,69,106950.6,23.54,65.45,83.42,1.59,Very low value Customer
151,Christina DeMoss,12,82,75127.44,62.41,88.88,54.65,4.21,Medium value Customer
152,Christina VanderZanden,39,60,41533.79,18.79,38.69,9.55,1.27,Very low value Customer
153,Christine Abelman,13,43,26942.61,59.4,4.96,2.01,4.01,Medium value Customer
154,Christine Kargatis,0,67,54850.49,100.0,58.67,25.38,6.75,Top Customer
155,Christine Phan,8,82,120609.52,69.85,88.88,89.95,4.72,High value Customer
156,Christine Sundaresam,6,66,37885.87,77.04,55.53,6.53,5.2,High value Customer
157,Christopher Conant,6,73,205419.11,77.04,73.3,99.75,5.2,High value Customer
158,Christopher Martinez,37,56,111193.59,19.69,27.83,85.8,1.33,Very low value Customer
159,Christopher Schild,1,53,50283.46,95.06,19.79,19.1,6.42,Top Customer
160,Christy Brittain,26,49,61031.85,34.77,12.63,33.42,2.35,Low value Customer
161,Chuck Clark,0,60,81598.91,100.0,38.69,62.19,6.75,Top Customer
162,Chuck Magee,15,58,72981.61,53.82,33.61,51.88,3.63,Medium value Customer
163,Chuck Sachs,6,70,114322.59,77.04,67.71,87.44,5.2,High value Customer
164,Cindy Chapman,16,74,95205.29,50.99,75.38,74.5,3.44,Medium value Customer
165,Cindy Schnelling,2,62,50042.97,89.67,44.16,18.84,6.05,Top Customer
166,Cindy Stewart,27,42,64712.58,32.78,3.83,39.57,2.21,Low value Customer
167,Claire Gute,28,52,67041.67,30.6,18.09,43.09,2.07,Low value Customer
168,Claudia Bergmann,7,72,84909.71,73.44,71.48,65.83,4.96,High value Customer
169,Clay Cheatham,27,60,38415.53,32.78,38.69,6.78,2.21,Low value Customer
170,Clay Ludtke,5,79,86596.29,81.65,85.99,67.09,5.51,Top Customer
171,Clay Rozendal,22,41,84780.13,40.09,3.14,65.58,2.71,Medium value Customer
172,Clytie Kelty,43,79,75808.8,14.56,85.99,55.53,0.98,Very low value Customer
173,Corey Catlett,16,61,96832.11,50.99,41.33,75.63,3.44,Medium value Customer
174,Corey Roper,43,77,116992.41,14.56,81.78,88.44,0.98,Very low value Customer
175,Corey-Lock,4,68,51995.69,85.31,62.19,21.36,5.76,Top Customer
176,Corinna Mitchell,27,54,101699.59,32.78,21.8,79.52,2.21,Low value Customer
177,Craig Carreira,16,67,48781.95,50.99,58.67,17.21,3.44,Medium value Customer
178,Craig Carroll,54,55,73006.7,8.66,24.56,52.01,0.58,Very low value Customer
179,Craig Leslie,8,69,101087.66,69.85,65.45,79.4,4.72,High value Customer
180,Craig Molinari,41,54,58608.2,16.61,21.8,30.15,1.12,Very low value Customer
181,Craig Reiter,5,77,101932.71,81.65,81.78,79.9,5.51,Top Customer
182,Craig Yedwab,60,60,67321.62,6.41,38.69,43.59,0.43,Very low value Customer
183,Cyma Kinney,37,69,38441.58,19.69,65.45,6.91,1.33,Very low value Customer
184,Cynthia Arntzen,93,61,122384.36,2.82,41.33,90.58,0.19,Very low value Customer
185,Cynthia Delaney,76,67,65641.84,4.3,58.67,41.08,0.29,Very low value Customer
186,Cynthia Voltz,4,54,67540.95,85.31,21.8,43.84,5.76,Top Customer
187,Cyra Reiten,55,54,80800.58,8.08,21.8,61.56,0.55,Very low value Customer
188,Damala Kotsonis,21,86,106228.25,42.66,94.6,82.91,2.88,Medium value Customer
189,Dan Campbell,34,77,51652.35,23.54,81.78,21.11,1.59,Very low value Customer
190,Dan Lawera,57,68,63033.2,7.31,62.19,36.93,0.49,Very low value Customer
191,Dan Reichenbach,3,84,78803.87,86.79,92.27,59.55,5.86,Top Customer
192,Dana Kaydos,45,70,100004.73,13.15,67.71,78.64,0.89,Very low value Customer
193,Daniel Byrd,2,65,66043.56,89.67,52.95,41.71,6.05,Top Customer
194,Daniel Lacy,37,72,53718.17,19.69,71.48,23.87,1.33,Very low value Customer
195,Daniel Raglin,27,85,163807.08,32.78,93.53,98.37,2.21,Low value Customer
196,Dario Medina,12,76,126380.05,62.41,79.27,92.59,4.21,Medium value Customer
197,Darren Budd,57,31,67099.63,7.31,0.44,43.34,0.49,Very low value Customer
198,Darren Koutras,1,64,67935.02,95.06,50.19,44.6,6.42,Top Customer
199,Darren Powers,14,82,76286.83,56.77,88.88,56.41,3.83,Medium value Customer
200,Darrin Martin,2,66,91180.55,89.67,55.53,71.23,6.05,Top Customer
201,Darrin Sayre,48,68,72480.82,11.8,62.19,50.63,0.8,Very low value Customer
202,Darrin Van Huff,19,94,122898.88,47.15,98.24,91.08,3.18,Medium value Customer
203,Dave Brooks,8,70,167186.3,69.85,67.71,98.62,4.72,High value Customer
204,Dave Hallsten,75,83,74702.31,4.81,90.64,54.15,0.32,Very low value Customer
205,Dave Kipp,8,64,82521.58,69.85,50.19,62.81,4.72,High value Customer
206,Dave Poirier,6,62,182885.84,77.04,44.16,99.37,5.2,High value Customer
207,David Bremer,5,34,33300.28,81.65,0.63,3.52,5.51,Top Customer
208,David Flashing,9,52,52561.82,66.65,18.09,21.98,4.5,High value Customer
209,David Kendrick,10,58,129914.99,65.49,33.61,93.72,4.42,Medium value Customer
210,David Philippe,7,68,135140.01,73.44,62.19,94.35,4.96,High value Customer
211,David Smith,14,63,63557.36,56.77,47.17,38.07,3.83,Medium value Customer
212,David Wiener,6,56,44349.64,77.04,27.83,12.44,5.2,High value Customer
213,Dean Braden,7,73,54502.16,73.44,73.3,24.75,4.96,High value Customer
214,Dean Katz,1,56,47944.43,95.06,27.83,16.21,6.42,Top Customer
215,Dean percer,18,81,117043.2,48.88,87.63,88.69,3.3,Medium value Customer
216,Deanra Eno,19,55,66257.34,47.15,24.56,41.96,3.18,Medium value Customer
217,Deborah Brumfield,9,58,62570.53,66.65,33.61,36.18,4.5,High value Customer
218,Debra Catini,18,54,102782.36,48.88,21.8,80.4,3.3,Medium value Customer
219,Deirdre Greer,14,64,87294.88,56.77,50.19,67.71,3.83,Medium value Customer
220,Delfina Latchford,18,76,104851.88,48.88,79.27,82.16,3.3,Medium value Customer
221,Denise Leinenbach,12,75,78815.04,62.41,77.39,59.67,4.21,Medium value Customer
222,Denise Monton,2,59,135749.55,89.67,36.31,94.47,6.05,Top Customer
223,Dennis Bolton,47,52,41909.55,12.64,18.09,9.92,0.85,Very low value Customer
224,Dennis Kane,4,76,108735.01,85.31,79.27,84.8,5.76,Top Customer
225,Dennis Pardue,0,57,41344.05,100.0,30.59,9.42,6.75,Top Customer
226,Denny Blanton,28,51,109705.21,30.6,16.65,85.43,2.07,Low value Customer
227,Denny Joy,1,63,126707.12,95.06,47.17,92.84,6.42,Top Customer
228,Denny Ordway,36,83,91575.05,20.85,90.64,72.11,1.41,Very low value Customer
229,Dianna Arnett,13,60,92237.58,59.4,38.69,72.74,4.01,Medium value Customer
230,Dianna Vittorini,13,63,71295.51,59.4,47.17,48.62,4.01,Medium value Customer
231,Dianna Wilson,55,88,119456.55,8.08,96.36,89.32,0.55,Very low value Customer
232,Dionis Lloyd,22,56,85174.88,40.09,27.83,66.21,2.71,Medium value Customer
233,Don Jones,6,78,88886.46,77.04,84.17,69.1,5.2,High value Customer
234,Don Miller,35,52,66610.54,22.19,18.09,42.46,1.5,Very low value Customer
235,Don Weiss,12,62,59873.89,62.41,44.16,32.79,4.21,Medium value Customer
236,Dorothy Badders,5,49,45816.18,81.65,12.63,14.07,5.51,Top Customer
237,Dorothy Dickinson,41,66,51487.25,16.61,55.53,20.73,1.12,Very low value Customer
238,Dorothy Wardle,5,74,61236.23,81.65,75.38,33.79,5.51,Top Customer
239,Dorris liebe,5,58,54674.54,81.65,33.61,25.25,5.51,Top Customer
240,Doug Bickford,27,58,54460.11,32.78,33.61,24.62,2.21,Low value Customer
241,Doug Jacobs,12,54,85008.93,62.41,21.8,65.95,4.21,Medium value Customer
242,Doug O'Connell,26,68,58581.52,34.77,62.19,30.03,2.35,Low value Customer
243,Duane Benoit,12,42,65183.34,62.41,3.83,40.08,4.21,Medium value Customer
244,Duane Huffman,20,54,56865.82,45.09,21.8,28.14,3.04,Medium value Customer
245,Duane Noonan,12,60,60519.6,62.41,38.69,33.17,4.21,Medium value Customer
246,Ed Braxton,48,65,62284.49,11.8,52.95,35.3,0.8,Very low value Customer
247,Ed Jacobs,49,45,51160.78,10.78,7.1,20.23,0.73,Very low value Customer
248,Ed Ludwig,26,71,71825.71,34.77,69.54,49.37,2.35,Low value Customer
249,Edward Becker,32,49,44075.1,26.23,12.63,12.06,1.77,Low value Customer
250,Edward Hooks,2,84,88155.01,89.67,92.27,68.22,6.05,Top Customer
251,Edward Nazzal,14,46,25736.32,56.77,8.17,1.51,3.83,Medium value Customer
252,Eileen Kiefer,44,36,33281.73,13.66,1.44,3.39,0.92,Very low value Customer
253,Eleni McCrary,58,54,74779.73,6.67,21.8,54.27,0.45,Very low value Customer
254,Elizabeth Moffitt,55,64,49190.18,8.08,50.19,17.96,0.55,Very low value Customer
255,Ellis Ballard,2,57,106326.64,89.67,30.59,83.17,6.05,Top Customer
256,Elpida Rittenbach,53,53,124079.29,9.24,19.79,91.83,0.62,Very low value Customer
257,Emily Burns,15,35,26381.29,53.82,0.88,1.88,3.63,Medium value Customer
258,Emily Ducich,15,76,105207.13,53.82,79.27,82.29,3.63,Medium value Customer
259,Emily Grady,22,63,121335.13,40.09,47.17,90.2,2.71,Medium value Customer
260,Emily Phan,12,72,86951.91,62.41,71.48,67.46,4.21,Medium value Customer
261,Eric Barreto,7,48,52673.57,73.44,10.93,22.36,4.96,High value Customer
262,Eric Hoffmann,57,71,42187.52,7.31,69.54,10.55,0.49,Very low value Customer
263,Eric Murdock,2,100,149367.84,89.67,99.25,96.73,6.05,Top Customer
264,Erica Bern,0,77,69664.25,100.0,81.78,46.86,6.75,Top Customer
265,Erica Hackney,33,51,40287.48,25.02,16.65,8.42,1.69,Low value Customer
266,Erica Hernandez,2,57,58747.85,89.67,30.59,30.53,6.05,Top Customer
267,Erica Smith,0,67,68982.62,100.0,58.67,46.36,6.75,Top Customer
268,Erin Ashbrook,93,72,53453.85,2.82,71.48,23.49,0.19,Very low value Customer
269,Erin Creighton,53,58,31030.95,9.24,33.61,2.39,0.62,Very low value Customer
270,Erin Mull,16,62,80347.54,50.99,44.16,61.06,3.44,Medium value Customer
271,Erin Smith,28,74,75067.15,30.6,75.38,54.52,2.07,Low value Customer
272,Eudokia Martin,8,61,61193.91,69.85,41.33,33.54,4.72,High value Customer
273,Eugene Barchas,20,64,63370.54,45.09,50.19,37.81,3.04,Medium value Customer
274,Eugene Hildebrand,22,86,128326.85,40.09,94.6,93.22,2.71,Medium value Customer
275,Eugene Moren,24,94,120410.23,37.4,98.24,89.7,2.52,Medium value Customer
276,Eva Jacobs,22,49,65204.88,40.09,12.63,40.2,2.71,Medium value Customer
277,Evan Bailliet,19,47,36813.27,47.15,9.36,5.65,3.18,Medium value Customer
278,Evan Henry,67,61,76169.36,5.77,41.33,56.03,0.39,Very low value Customer
279,Evan Minnotte,41,66,97844.42,16.61,55.53,76.51,1.12,Very low value Customer
280,Filia McAdams,7,69,82235.29,73.44,65.45,62.44,4.96,High value Customer
281,Frank Atkinson,22,62,59419.36,40.09,44.16,31.78,2.71,Medium value Customer
282,Frank Carlisle,42,51,66824.7,15.52,16.65,42.84,1.05,Very low value Customer
283,Frank Gastineau,34,44,39595.17,23.54,6.16,8.17,1.59,Very low value Customer
284,Frank Hawley,4,48,81344.35,85.31,10.93,61.93,5.76,Top Customer
285,Frank Merwin,2,77,87234.67,89.67,81.78,67.59,6.05,Top Customer
286,Frank Olsen,22,85,89786.83,40.09,93.53,70.1,2.71,Medium value Customer
287,Frank Preis,23,55,45045.66,38.23,24.56,13.19,2.58,Medium value Customer
288,Fred Chung,107,51,38899.67,1.67,16.65,7.41,0.11,Very low value Customer
289,Fred Harton,1,42,48516.06,95.06,3.83,17.09,6.42,Top Customer
290,Fred Hopkins,1,82,162773.37,95.06,88.88,98.12,6.42,Top Customer
291,Fred McMath,1,46,34495.2,95.06,8.17,3.77,6.42,Top Customer
292,Fred Wasserman,0,72,68867.67,100.0,71.48,46.11,6.75,Top Customer
293,Gary Hansen,20,76,84861.78,45.09,79.27,65.7,3.04,Medium value Customer
294,Gary Hwang,18,102,121675.35,48.88,99.62,90.33,3.3,Medium value Customer
295,Gary McGarr,1,58,72647.65,95.06,33.61,50.88,6.42,Top Customer
296,Gary Mitchum,16,43,49084.26,50.99,4.96,17.46,3.44,Medium value Customer
297,Gary Zandusky,7,78,115727.59,73.44,84.17,87.94,4.96,High value Customer
298,Gene Hale,51,50,106892.78,9.81,14.64,83.29,0.66,Very low value Customer
299,Gene McClure,104,47,62694.59,1.86,9.36,36.43,0.13,Very low value Customer
300,George Ashbrook,22,58,64835.25,40.09,33.61,39.82,2.71,Medium value Customer
301,George Bell,33,56,94948.44,25.02,27.83,74.37,1.69,Low value Customer
302,George Zrebassa,30,52,78112.35,27.39,18.09,58.79,1.85,Low value Customer
303,Georgia Rosenberg,49,62,85670.88,10.78,44.16,66.46,0.73,Very low value Customer
304,Giulietta Baptist,13,66,56068.58,59.4,55.53,26.26,4.01,Medium value Customer
305,Giulietta Dortch,5,56,124249.94,81.65,27.83,92.09,5.51,Top Customer
306,Giulietta Weimer,14,57,100069.54,56.77,30.59,78.77,3.83,Medium value Customer
307,Grace Kelly,12,65,106311.48,62.41,52.95,83.04,4.21,Medium value Customer
308,Grant Thornton,9,48,84275.35,66.65,10.93,64.95,4.5,High value Customer
309,Greg Guthrie,33,75,61282.65,25.02,77.39,33.92,1.69,Low value Customer
310,Greg Hansen,1,65,65846.75,95.06,52.95,41.33,6.42,Top Customer
311,Greg Matthias,1,74,57752.12,95.06,75.38,28.89,6.42,Top Customer
312,Greg Maxwell,47,64,64624.88,12.64,50.19,39.45,0.85,Very low value Customer
313,Greg Tran,8,87,216108.56,69.85,95.6,99.87,4.72,High value Customer
314,Guy Armstrong,2,64,36143.14,89.67,50.19,4.65,6.05,Top Customer
315,Guy Phonely,1,74,66203.85,95.06,75.38,41.83,6.42,Top Customer
316,Guy Thornton,0,62,31199.21,100.0,44.16,2.51,6.75,Top Customer
317,Hallie Redmond,13,61,82610.03,59.4,41.33,63.07,4.01,Medium value Customer
318,Harold Dahlen,42,81,84206.06,15.52,87.63,64.82,1.05,Very low value Customer
319,Harold Engle,6,71,50439.24,77.04,69.54,19.47,5.2,High value Customer
320,Harold Pawlan,30,45,38487.06,27.39,7.1,7.04,1.85,Low value Customer
321,Harold Ryan,51,44,41328.31,9.81,6.16,9.17,0.66,Very low value Customer
322,Harry Greene,12,101,179105.83,62.41,99.37,99.25,4.21,Medium value Customer
323,Harry Marie,1,85,176853.54,95.06,93.53,98.99,6.42,Top Customer
324,Heather Jas,5,68,67834.56,81.65,62.19,44.35,5.51,Top Customer
